AreaDescription,periodyear,codetitle,vacancies,vacanrate,medianwage
Statewide,2008,Computer Programmers                              ,119,0.021,25.38
Statewide,2008,"Computer Software Engineers, Applications         ",445,0.028,26.58
Statewide,2008,"Computer Software Engineers, Systems Software     ",96,0.011,28.91
Statewide,2008,Computer Support Specialists                      ,234,0.019,18.7
Statewide,2008,Computer Systems Analysts                         ,244,0.029,27.12
Statewide,2008,Database Administrators                           ,65,0.024,26.77
Statewide,2008,Network and Computer Systems Administrators       ,318,0.032,27.04
Statewide,2008,Network Systems and Data Communications Analysts  ,303,0.061,24.54
7-County Metro,2008,Computer Programmers                              ,79,0.021,27.07
7-County Metro,2008,"Computer Software Engineers, Applications         ",430,0.038,26.59
7-County Metro,2008,"Computer Software Engineers, Systems Software     ",84,0.014,28.83
7-County Metro,2008,Computer Support Specialists                      ,199,0.025,19.03
7-County Metro,2008,Computer Systems Analysts                         ,225,0.037,27.4
7-County Metro,2008,Database Administrators                           ,51,0.027,28.02
7-County Metro,2008,Network and Computer Systems Administrators       ,272,0.039,26.4
7-County Metro,2008,Network Systems and Data Communications Analysts  ,250,0.069,25.79
Statewide,2009,Computer Programmers                              ,53,0.009,31.16
Statewide,2009,"Computer Software Engineers, Applications         ",142,0.009,31.7
Statewide,2009,"Computer Software Engineers, Systems Software     ",36,0.004,31.14
Statewide,2009,Computer Support Specialists                      ,63,0.005,19.27
Statewide,2009,Computer Systems Analysts                         ,89,0.008,31.15
Statewide,2009,Database Administrators                           ,67,0.027,28.75
Statewide,2009,Network and Computer Systems Administrators       ,176,0.017,33.9
Statewide,2009,Network Systems and Data Communications Analysts  ,217,0.039,24.6
7-County Metro,2009,Computer Programmers                              ,41,0.009,32.32
7-County Metro,2009,"Computer Software Engineers, Applications         ",130,0.01,32.18
7-County Metro,2009,"Computer Software Engineers, Systems Software     ",36,0.005,31.14
7-County Metro,2009,Computer Support Specialists                      ,31,0.003,23.11
7-County Metro,2009,Computer Systems Analysts                         ,84,0.009,31.64
7-County Metro,2009,Database Administrators                           ,60,0.028,29.17
7-County Metro,2009,Network and Computer Systems Administrators       ,169,0.02,34.66
7-County Metro,2009,Network Systems and Data Communications Analysts  ,136,0.028,27.59
Statewide,2010,"Computer and Information Scientists, Research     ",7,0.028,26.76
Statewide,2010,Computer Programmers                              ,127,0.023,27.44
Statewide,2010,"Computer Software Engineers, Applications         ",305,0.019,29.82
Statewide,2010,"Computer Software Engineers, Systems Software     ",71,0.009,31.11
Statewide,2010,Computer Support Specialists                      ,84,0.007,16.67
Statewide,2010,Computer Systems Analysts                         ,395,0.033,29.88
Statewide,2010,Database Administrators                           ,70,0.03,29.63
Statewide,2010,Network and Computer Systems Administrators       ,175,0.017,28.82
